model            , ENS    , MAD    , OLS    , EMD    , SSIM, track
PBL , 0.2625          , 0.2315          , 0.3239          , 0.2099          , 0.3265, iid          
Unet        , 0.2902          , 0.2482          , 0.3381          , 0.2336          , 0.3973, iid          
Arcon                , 0.2803          , 0.2414          , 0.3216          , 0.2258          , 0.3863, iid          
SGConvLSTM   , 0.3176 , 0.2589 , 0.3456 , 0.2533 , 0.5292, iid 
SGEDConvLSTM   , 0.3164 , 0.2580 , 0.3440 , 0.2532 , 0.5237, iid  
PBL , 0.2587          , 0.2248          , 0.3236          , 0.2123          , 0.3112 , ood         
Unet        , 0.2854          , 0.2402          , 0.3390          , 0.2371          , 0.3721, ood          
Arcon                , 0.2655          , 0.2314          , 0.3088          , 0.2177          , 0.3432 , ood         
SGConvLSTM   , 0.3146 , 0.2512 , 0.3481 , 0.2597 , 0.4977 , ood
SGEDConvLSTM   , 0.3121 , 0.2497 , 0.3450 , 0.2587 , 0.4887  , ood
PBL , 0.1939          , 0.2158          , 0.2806          , 0.1614          , 0.1605  , extreme        
Unet        , 0.2364          , 0.2286          , 0.2973          , 0.2065          , 0.2306  , extreme        
Arcon                , 0.2215          , 0.2243          , 0.2753          , 0.1975          , 0.2084  , extreme        
SGConvLSTM   , 0.2740 , 0.2366 , 0.3199 , 0.2279 , 0.3497 , extreme
SGEDConvLSTM   , 0.2595 , 0.2304 , 0.3164 , 0.2186 , 0.2993  , extreme
PBL , 0.2676          , 0.2329          , 0.3848          , 0.2034          , 0.3184  , seasonal        
Unet        , 0.1955          , 0.2169          , 0.3811          , 0.1903          , 0.1255  , seasonal        
Arcon                , 0.1587          , 0.2014          , 0.3788          , 0.1787          , 0.0834  , seasonal        
SGConvLSTM   , 0.2162 , 0.2207 , 0.3756 , 0.1723 , 0.1817 , seasonal
SGEDConvLSTM   , 0.1790 , 0.2056 , 0.3585 , 0.1543 , 0.1218  , seasonal
Dia, 0.3266, 0.2638, 0.3513, 0.26223, 0.5565, iid
Dia, 0.3204, 0.2541, 0.3522, 0.2660,  0.5125, ood
Dia, 0.2140, 0.2137, 0.2906,  0.1879,  0.1904, extreme
Dia, 0.2193, 0.2146, 0.3778, 0.2003,  0.1685, seasonal
